PartitionKey,RowKey,Timestamp,definition
adjective:10028,potent,2016-01-30T05:13:41.122Z, (of a male) capable of copulation  
adjective:10029,impotent,2016-01-30T05:13:41.324Z, (of a male) unable to copulate  
adjective:1003,on tap,2016-01-30T04:48:12.112Z," available for immediate use; ""extra personnel on tap""; ""other sports and entertainment facilities are on tap""; ""there are numerous projects on tap""  "
adjective:10030,powerful,2016-01-30T05:13:41.451Z," having great power or force or potency or effect; ""the most powerful government in western Europe""; ""his powerful arms""; ""a powerful bomb""; ""the horse's powerful kick""; ""powerful drugs""; ""a powerful argument""  "
adjective:10031,almighty,2016-01-30T05:13:41.580Z, having unlimited power  
adjective:10032,coercive,2016-01-30T05:13:41.711Z," serving or intended to coerce; ""authority is directional instead of coercive""  "
adjective:10033,compelling,2016-01-30T05:13:41.930Z," driving or forcing; ""compelling ambition""  "
adjective:10034,mighty,2016-01-30T05:13:42.130Z," having or showing great strength or force or intensity; ""struck a mighty blow""; ""the mighty logger Paul Bunyan""; ""the pen is mightier than the sword""- Bulwer-Lytton  "
adjective:10035,muscular,2016-01-30T05:13:42.335Z," having or suggesting great physical power or force; ""the muscular and passionate Fifth Symphony""  "
adjective:10036,potent,2016-01-30T05:13:42.532Z," having or wielding force or authority; ""providing the ground soldier with increasingly potent weapons""  "
adjective:10037,puissant,2016-01-30T05:13:42.658Z, powerful  
adjective:10038,regent,2016-01-30T05:13:42.857Z," acting or functioning as a regent or ruler; ""prince-regent""  "
adjective:10039,regnant,2016-01-30T05:13:43.058Z, exercising power or authority  
adjective:1004,on tap,2016-01-30T04:48:12.243Z," (of liquids) available by turning a tap; ""ale on tap""; ""hot and cold running water on tap""  "
adjective:10040,powerless,2016-01-30T05:13:43.191Z, lacking power  
adjective:10041,feeble,2016-01-30T05:13:43.323Z," lacking strength; ""a weak, nerveless fool, devoid of energy and promptitude""- Nathaniel Hawthorne  "
adjective:10042,helpless,2016-01-30T05:13:43.453Z," lacking in or deprived of strength or power; ""lying ill and helpless""; ""helpless with laughter""  "
adjective:10043,low-powered,2016-01-30T05:13:43.647Z," having little power to do work; ""a low-powered engine""  "
adjective:10044,weak,2016-01-30T05:13:43.847Z," not having authority, political strength, or governing power; ""a weak president""  "
adjective:10045,powered,2016-01-30T05:13:44.043Z," (often used in combination) having or using or propelled by means of power or power of a specified kind; ""powered flight""; ""kerosine-powered jet engines""  "
adjective:10046,battery-powered,2016-01-30T05:13:44.165Z," powered by one or more electric batteries; ""a battery-powered radio""  "
adjective:10047,high-powered,2016-01-30T05:13:44.295Z," (used of microscopes) capable of a high degree of magnification; ""a high-powered microscope""  "
adjective:10048,hopped-up,2016-01-30T05:13:44.525Z," (of an automobile) having the engine modified to give extra power; ""a hopped-up jalopy""  "
adjective:10049,power-driven,2016-01-30T05:13:44.708Z," powered by a motor; ""a power-driven hand tool""  "
adjective:1005,open,2016-01-30T04:48:12.388Z," not having been filled; ""the job is still open""  "
adjective:10050,steam-powered,2016-01-30T05:13:44.906Z," powered by a steam engine; ""a steam-powered locomotive""  "
adjective:10051,supercharged,2016-01-30T05:13:45.105Z, (of e.g. an engine) having the power increased by fitting with a supercharger  
adjective:10052,unpowered,2016-01-30T05:13:45.305Z," not having or using power; ""an autogiro is supported in flight by unpowered rotating wings""  "
adjective:10053,high-tension,2016-01-30T05:13:45.509Z," subjected to or capable of operating under relatively high voltage; ""high-tension wire""  "
adjective:10054,high-voltage,2016-01-30T05:13:45.642Z," operating on or powered by a high voltage; ""a high-voltage generator""  "
adjective:10055,low-tension,2016-01-30T05:13:45.810Z, subjected to or capable of operating under relative low voltage  
adjective:10056,influential,2016-01-30T05:13:45.948Z," having or exercising influence or power; ""an influential newspaper""; ""influential leadership for peace""  "
adjective:10057,authoritative,2016-01-30T05:13:46.074Z," having authority or ascendancy or influence; ""an important official""; ""the captain's authoritative manner""  "
adjective:10058,potent,2016-01-30T05:13:46.212Z, having great influence  
adjective:10059,prestigious,2016-01-30T05:13:46.412Z," exerting influence by reason of high status or prestige; ""a prestigious professor at a prestigious university""  "
adjective:1006,purchasable,2016-01-30T04:48:12.586Z," available for purchase; ""purchasable goods""; ""many houses in the area are for sale""  "
adjective:10060,uninfluential,2016-01-30T05:13:46.615Z, not influential  
adjective:10061,placental,2016-01-30T05:13:46.821Z," pertaining to or having or occurring by means of a placenta; ""all mammals except monotremes and marsupials are placental mammals""  "
adjective:10062,transplacental,2016-01-30T05:13:46.946Z," occurring through or by way of the placenta; ""transplacental passage of nutrients""  "
adjective:10063,aplacental,2016-01-30T05:13:47.073Z," having no placenta; ""monotremes and marsupials are aplacental mammals""  "
adjective:10064,planted,2016-01-30T05:13:47.202Z, set in the soil for growth  
adjective:10065,cropped,2016-01-30T05:13:47.330Z," (of land or soil) used for growing crops; ""cropped soil""  "
adjective:10066,naturalized,2016-01-30T05:13:47.452Z," planted so as to give an effect of wild growth; ""drifts of naturalized daffodils""  "
adjective:10067,potbound,2016-01-30T05:13:47.581Z, (of a potted plant) grown too large for its container resulting in matting or tangling of the roots  
adjective:10068,quickset,2016-01-30T05:13:47.712Z," grown from cuttings planted directly in the ground; ""a quickset hawthorn hedge""  "
adjective:10069,seeded,2016-01-30T05:13:47.841Z," sprinkled with seed; ""a seeded lawn""  "
adjective:1007,ready,2016-01-30T04:48:12.786Z," (of especially money) immediately available; ""he seems to have ample ready money""; ""a ready source of cash""  "
adjective:10070,self-seeded,2016-01-30T05:13:47.965Z, growing from seed dispersed by natural agency such as wind or birds  
adjective:10071,soil-building,2016-01-30T05:13:48.085Z, (of crops) planted to improve the quality of the soil  
adjective:10072,unplanted,2016-01-30T05:13:48.211Z, not planted  
adjective:10073,uncropped,2016-01-30T05:13:48.341Z," not used for growing crops; ""uncropped soil""  "
adjective:10074,unseeded,2016-01-30T05:13:48.538Z," (of a piece of ground) not have a crop sown on it; ""farmland still unsown""  "
adjective:10075,plowed,2016-01-30T05:13:48.684Z," (of farmland) broken and turned over with a plow; ""plowed fields""  "
adjective:10076,tilled,2016-01-30T05:13:48.827Z," turned or stirred by plowing or harrowing or hoeing; ""tilled land ready for seed""  "
adjective:10077,unplowed,2016-01-30T05:13:49.012Z," (of farmland) not plowed; ""unplowed fields""; ""unbroken land""  "
adjective:10078,fallow,2016-01-30T05:13:49.139Z," left unplowed and unseeded during a growing season; ""fallow farmland""  "
adjective:10079,untilled,2016-01-30T05:13:49.269Z," not plowed or harrowed or hoed; ""untilled land""  "
adjective:1008,unavailable,2016-01-30T04:48:12.910Z," not available or accessible or at hand; ""fresh milk was unavailable during the emergency""; ""his secretary said he was unavailable for comment""  "
adjective:10080,cultivated,2016-01-30T05:13:49.445Z," (of land or fields) prepared for raising crops by plowing or fertilizing; ""cultivated land""  "
adjective:10081,uncultivated,2016-01-30T05:13:49.563Z," (of land or fields) not prepared for raising crops; ""uncultivated land""  "
adjective:10082,uncultivable,2016-01-30T05:13:49.693Z," not suitable for cultivation or tilling; ""thickets of indigenous trees...on uncultivable land""- C.B.Palmer  "
adjective:10083,potted,2016-01-30T05:13:49.845Z," of plants; planted or grown in a pot; ""potted geraniums""  "
adjective:10084,unpotted,2016-01-30T05:13:49.974Z, not planted in pots  
adjective:10085,practical,2016-01-30T05:13:50.104Z," concerned with actual use or practice; ""he is a very practical person""; ""the idea had no practical application""; ""a practical knowledge of Japanese""; ""woodworking is a practical art""  "
adjective:10086,applicative,2016-01-30T05:13:50.232Z, readily applicable or practical  
adjective:10087,functional,2016-01-30T05:13:50.402Z," designed for or adapted to a function or use; ""functional education selects knowledge that is concrete and usable rather than abstract and theoretical""; ""functional architecture""  "
adjective:10088,interoperable,2016-01-30T05:13:50.602Z, able to exchange and use information  
adjective:10089,matter-of-fact,2016-01-30T05:13:50.761Z," concerned with practical matters; ""a matter-of-fact (or pragmatic) approach to the problem""; ""a matter-of-fact account of the trip""  "
adjective:1009,gone,2016-01-30T04:48:13.032Z," used up or no longer available; ""gone with the wind""; ""if we don't get there early, all the best seats will be gone""  "
adjective:10090,operable,2016-01-30T05:13:50.959Z," usable for a specific purpose; ""an operable plan""; ""a practicable solution""  "
adjective:10091,serviceable,2016-01-30T05:13:51.151Z," intended or able to serve a purpose without elaboration; ""serviceable low-heeled shoes""  "
adjective:10092,unimaginative,2016-01-30T05:13:51.352Z, dealing only with concrete facts  
adjective:10093,working,2016-01-30T05:13:51.551Z," adequate for practical use; especially sufficient in strength or numbers to accomplish something; ""the party has a working majority in the House""; ""a working knowledge of Spanish""  "
adjective:10094,impractical,2016-01-30T05:13:51.753Z," not practical; not workable or not given to practical matters; ""refloating the ship proved impractical because of the expense""; ""he is intelligent but too impractical for commercial work""; ""an impractical solution""  "
adjective:10095,crazy,2016-01-30T05:13:51.884Z," foolish; totally unsound; ""a crazy scheme""; ""half-baked ideas""; ""a screwball proposal without a prayer of working""  "
adjective:10096,meshugge,2016-01-30T05:13:52.013Z, senseless; crazy  
adjective:10097,quixotic,2016-01-30T05:13:52.141Z," not sensible about practical matters; idealistic and unrealistic; ""as quixotic as a restoration of medieval knighthood""; ""a romantic disregard for money""; ""a wild-eyed dream of a world state""  "
adjective:10098,unfunctional,2016-01-30T05:13:52.263Z, not related to or suitable for everyday needs or activities  
adjective:10099,unwieldy,2016-01-30T05:13:52.447Z," difficult to work or manipulate; ""unwieldy rules and regulations""  "
adjective:101,disobliging,2016-01-30T04:45:44.372Z," intentionally unaccommodating; ""the action was not offensive to him but proved somewhat disobliging""  "
adjective:1010,inaccessible,2016-01-30T04:48:13.244Z," not capable of being obtained; ""a rare work, today almost inaccessible""; ""timber is virtually unobtainable in the islands""; ""untouchable resources buried deep within the earth""  "
adjective:10100,precise,2016-01-30T05:13:52.636Z," sharply exact or accurate or delimited; ""a precise mind""; ""specified a precise amount""; ""arrived at the precise moment""  "
adjective:10101,dead,2016-01-30T05:13:52.854Z," unerringly accurate; ""a dead shot""; ""took dead aim""  "
adjective:10102,fine,2016-01-30T05:13:52.981Z," minutely precise especially in differences in meaning; ""a fine distinction""  "
adjective:10103,finespun,2016-01-30T05:13:53.121Z," developed in excessively fine detail; ""finespun distinctions""  "
adjective:10104,meticulous,2016-01-30T05:13:53.327Z," marked by precise accordance with details; ""meticulous research""; ""punctilious in his attention to rules of etiquette""  "
adjective:10105,microscopic,2016-01-30T05:13:53.521Z," extremely precise with great attention to details; ""examined it with microscopic care""  "
adjective:10106,nice,2016-01-30T05:13:53.722Z," done with delicacy and skill; ""a nice bit of craft""; ""a job requiring nice measurements with a micrometer""; ""a nice shot""  "
adjective:10107,on the nose,2016-01-30T05:13:53.924Z," being precise with regard to a prescribed or specified criterion; ""his guess was on the nose""; ""the prediction for snow was right on the button""  "
adjective:10108,refined,2016-01-30T05:13:54.124Z," precise to a fine degree; ""due to the limitations of the available tools, a more refined analysis of the data may be necessary""  "
adjective:10109,very,2016-01-30T05:13:54.321Z," precisely as stated; ""the very center of town""  "
adjective:1011,out of stock,2016-01-30T04:48:13.443Z," not available for sale or use; ""too many items are out of stock""  "
adjective:10110,imprecise,2016-01-30T05:13:54.521Z," not precise; ""imprecise astronomical observations""; ""the terms he used were imprecise and emotional""  "
adjective:10111,general,2016-01-30T05:13:54.724Z," somewhat indefinite; ""bearing a general resemblance to the original""; ""a general description of the merchandise""  "
adjective:10112,precocious,2016-01-30T05:13:54.855Z," characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude); ""a precocious child""; ""a precocious achievement""  "
adjective:10113,advanced,2016-01-30T05:13:54.983Z," farther along in physical or mental development; ""the child's skeletal age was classified as `advanced'""; ""children in the advanced classes in elementary school read far above grade average""  "
adjective:10114,retarded,2016-01-30T05:13:55.113Z," relatively slow in mental or emotional or physical development; ""providing a secure and sometimes happy life for the retarded""  "
adjective:10115,backward,2016-01-30T05:13:55.265Z, retarded in intellectual development  
adjective:10116,imbecile,2016-01-30T05:13:55.465Z, having a mental age of three to seven years  
adjective:10117,moronic,2016-01-30T05:13:55.662Z, having a mental age of between eight and twelve years  
adjective:10118,cretinous,2016-01-30T05:13:55.862Z, afflicted with cretinism  
adjective:10119,delayed,2016-01-30T05:13:56.075Z, not as far along as normal in development  
adjective:1012,awake,2016-01-30T04:48:13.645Z," not in a state of sleep; completely conscious; ""lay awake thinking about his new job""; ""still not fully awake""  "
adjective:10120,dim-witted,2016-01-30T05:13:56.262Z, lacking mental capacity and subtlety  
adjective:10121,predictable,2016-01-30T05:13:56.465Z, capable of being foretold  
adjective:10122,foreseeable,2016-01-30T05:13:56.664Z," capable of being anticipated; ""foreseeable costs were well within the budget""  "
adjective:10123,inevitable,2016-01-30T05:13:56.862Z," invariably occurring or appearing; ""the inevitable changes of the seasons""  "
adjective:10124,unpredictable,2016-01-30T05:13:57.063Z, not capable of being foretold  
adjective:10125,aleatory,2016-01-30T05:13:57.265Z," dependent on chance; ""the aleatory element in life""  "
adjective:10126,capricious,2016-01-30T05:13:57.462Z," changeable; ""a capricious summer breeze""; ""freakish weather""  "
adjective:10127,episodic,2016-01-30T05:13:57.665Z," occurring or appearing at usually irregular intervals; ""episodic in his affections""; ""occasional headaches""  "
adjective:10128,unforeseeable,2016-01-30T05:13:57.870Z," incapable of being anticipated; ""unforeseeable consequences""  "
adjective:10129,premeditated,2016-01-30T05:13:58.067Z," characterized by deliberate purpose and some degree of planning; ""a premeditated crime""  "
adjective:1013,astir,2016-01-30T04:48:13.842Z," out of bed; ""are they astir yet?""; ""up by seven each morning""  "
adjective:10130,aforethought,2016-01-30T05:13:58.264Z," with planning and intention; ""with malice aforethought""  "
adjective:10131,unpremeditated,2016-01-30T05:13:58.468Z, not premeditated  
adjective:10132,impulsive,2016-01-30T05:13:58.662Z," without forethought; ""letting him borrow her car was an impulsive act that she immediately regretted""  "
adjective:10133,prepared,2016-01-30T05:13:58.862Z," made ready or fit or suitable beforehand; ""a prepared statement""; ""be prepared for emergencies""  "
adjective:10134,braced,2016-01-30T05:13:59.064Z," positioned so as to be ready for confrontation or danger; ""he stood to attention with his shoulders braced""  "
adjective:10135,embattled,2016-01-30T05:13:59.269Z," prepared for battle; ""an embattled city""  "
adjective:10136,equipped,2016-01-30T05:13:59.501Z," prepared with proper equipment; ""equipped for service in the Arctic""  "
adjective:10137,oven-ready,2016-01-30T05:13:59.662Z, prepared before sale and ready to be cooked  
adjective:10138,preconditioned,2016-01-30T05:13:59.865Z," having already been put into a suitable condition; ""a surface preconditioned to receive paint""; ""customers preconditioned to buy a product""  "
adjective:10139,precooked,2016-01-30T05:14:00.066Z," cooked partially or completely beforehand; ""frozen precooked meals from the supermarket""  "
adjective:1014,awakened,2016-01-30T04:48:13.965Z," (somewhat formal) having been waked up; ""the awakened baby began to cry""  "
adjective:10140,processed,2016-01-30T05:14:00.264Z," subjected to a special process or treatment; ""prepared ergot""; ""processed cheeses are easy to spread""  "
adjective:10141,ready,2016-01-30T05:14:00.465Z," made suitable and available for immediate use; ""dinner is ready""  "
adjective:10142,spread,2016-01-30T05:14:00.588Z," prepared or arranged for a meal; especially having food set out; ""a table spread with food""  "
adjective:10143,up,2016-01-30T05:14:00.715Z," (usually followed by `on' or `for') in readiness; ""he was up on his homework""; ""had to be up for the game""  "
adjective:10144,unprepared,2016-01-30T05:14:00.838Z," without preparation; not prepared for; ""unprepared remarks""; ""the shock was unprepared""; ""our treaty makers approached their immensely difficult problems unprepared""- R.E.Danielson  "
adjective:10145,ad-lib,2016-01-30T05:14:01.043Z," with little or no preparation or forethought; ""his ad-lib comments showed poor judgment""; ""an extemporaneous piano recital""; ""an extemporary lecture""; ""an extempore skit""; ""an impromptu speech""; ""offhand excuses""; ""trying to sound offhanded and reassuring""; ""an off-the-cuff toast""; ""a few unrehearsed comments""  "
adjective:10146,spur-of-the-moment,2016-01-30T05:14:01.239Z," in response to an unforeseen need; ""a spur-of-the-moment party""  "
adjective:10147,prescription,2016-01-30T05:14:01.440Z," available only with a doctor's written prescription; ""a prescription drug""  "
adjective:10148,nonprescription,2016-01-30T05:14:01.646Z," purchasable without a doctor's prescription; ""nonprescription drugs""; ""an over-the-counter cold remedy""  "
adjective:10149,present,2016-01-30T05:14:01.840Z," being or existing in a specified place; ""the murderer is present in this room""; ""present at the wedding""; ""present at the creation""  "
adjective:1015,insomniac,2016-01-30T04:48:14.091Z," experiencing or accompanied by sleeplessness; ""insomniac old people""; ""insomniac nights""; ""lay sleepless all night""; ""twenty watchful, weary, tedious nights""- Shakespeare  "
adjective:10150,attendant,2016-01-30T05:14:01.969Z," being present (at a meeting or event, etc.); ""attendant members of the congregation""  "
adjective:10151,ever-present,2016-01-30T05:14:02.089Z, being always present  
adjective:10152,existing,2016-01-30T05:14:02.219Z," existing in something specified; ""depletion of the oxygen existing in the bloodstream""  "
adjective:10153,here,2016-01-30T05:14:02.337Z," being here now; ""is everyone here?""  "
adjective:10154,naturally occurring,2016-01-30T05:14:02.500Z," existing by nature and without artificial aid; ""one of the 93 naturally occurring chemical elements""  "
adjective:10155,omnipresent,2016-01-30T05:14:02.620Z, being present everywhere at once  
adjective:10156,absent,2016-01-30T05:14:02.752Z, not being in a specified place   
adjective:10157,away,2016-01-30T05:14:02.973Z," not present; having left; ""he's away right now""; ""you must not allow a stranger into the house when your mother is away""  "
adjective:10158,introuvable,2016-01-30T05:14:03.172Z," impossible to find; ""the book is practically introuvable""  "
adjective:10159,truant,2016-01-30T05:14:03.441Z," absent without permission; ""truant schoolboys""; ""the soldier was AWOL for almost a week""  "
adjective:1016,unsleeping,2016-01-30T04:48:14.224Z," fully awake; ""the unsleeping city""; ""so excited she was wide-awake all night""  "
adjective:10160,ostentatious,2016-01-30T05:14:03.574Z," intended to attract notice and impress others; ""an ostentatious sable coat""  "
adjective:10161,flaunty,2016-01-30T05:14:03.702Z, inclined to flaunt  
adjective:10162,flamboyant,2016-01-30T05:14:03.838Z," marked by ostentation but often tasteless; ""a cheap showy rhinestone bracelet""; ""a splashy half-page ad""  "
adjective:10163,unostentatious,2016-01-30T05:14:03.957Z," not ostentatious; ""his unostentatious office""; ""unostentatious elegance""  "
adjective:10164,quiet,2016-01-30T05:14:04.132Z," not showy or obtrusive; ""clothes in quiet good taste""  "
adjective:10165,pretentious,2016-01-30T05:14:04.334Z," making claim to or creating an appearance of (often undeserved) importance or distinction; ""a pretentious country house""; ""a pretentious fraud""; ""a pretentious scholarly edition""  "
adjective:10166,arty,2016-01-30T05:14:04.463Z, showily imitative of art or artists  
adjective:10167,artsy-craftsy,2016-01-30T05:14:04.583Z, pretentiously artistic; cloyingly charming  
adjective:10168,grandiloquent,2016-01-30T05:14:04.743Z," puffed up with vanity; ""a grandiloquent and boastful manner""; ""overblown oratory""; ""a pompous speech""; ""pseudo-scientific gobbledygook and pontifical hooey""- Newsweek  "
adjective:10169,grandiose,2016-01-30T05:14:04.872Z, affectedly genteel  
adjective:1017,waking,2016-01-30T04:48:14.442Z," marked by full consciousness or alertness; ""worked every moment of my waking hours""  "
adjective:10170,high-flown,2016-01-30T05:14:05.002Z," pretentious (especially with regard to language or ideals); ""high-flown talk of preserving the moral tone of the school""; ""a high-sounding dissertation on the means to attain social revolution""  "
adjective:10171,jumped-up,2016-01-30T05:14:05.128Z, (British informal) upstart  
adjective:10172,nouveau-riche,2016-01-30T05:14:05.324Z, characteristic of someone who has risen economically or socially but lacks the social skills appropriate for this new position  
adjective:10173,sententious,2016-01-30T05:14:05.523Z," abounding in or given to pompous or aphoristic moralizing; ""too often the significant episode deteriorates into sententious conversation""- Kathleen Barnes  "
adjective:10174,sesquipedalian,2016-01-30T05:14:05.647Z," given to the overuse of long words; ""sesquipedalian orators""; ""this sesquipedalian way of saying one has no money""  "
adjective:10175,unpretentious,2016-01-30T05:14:05.767Z," lacking pretension or affectation; ""an unpretentious country church""; ""her quiet unpretentious demeanor""  "
adjective:10176,honest,2016-01-30T05:14:05.887Z," without pretensions; ""worked at an honest trade""; ""good honest food""  "
adjective:10177,modest,2016-01-30T05:14:06.013Z," free from pomp or affectation; ""comfortable but modest cottages""; ""a simple rectangular brick building""; ""a simple man with simple tastes""  "
adjective:10178,unpompous,2016-01-30T05:14:06.146Z, not pompous  
adjective:10179,primary,2016-01-30T05:14:06.273Z," of first rank or importance or value; direct and immediate rather than secondary; ""primary goals""; ""a primary effect""; ""primary sources""; ""a primary interest""  "
adjective:1018,asleep,2016-01-30T04:48:14.643Z," in a state of sleep; ""were all asleep when the phone rang""; ""fell asleep at the wheel""  "
adjective:10180,capital,2016-01-30T05:14:06.398Z," of primary importance; ""our capital concern was to avoid defeat""  "
adjective:10181,direct,2016-01-30T05:14:06.517Z," being an immediate result or consequence; ""a direct result of the accident""  "
adjective:10182,firsthand,2016-01-30T05:14:06.659Z," received directly from a source; ""firsthand information""  "
adjective:10183,first-string,2016-01-30T05:14:06.780Z," being a regular member of a team; ""first-string players""  "
adjective:10184,original,2016-01-30T05:14:06.911Z," (of e.g. information) not secondhand or by way of something intermediary; ""his work is based on only original, not secondary, sources""  "
adjective:10185,particular,2016-01-30T05:14:07.093Z," first and most important; ""his special interest is music""; ""she gets special (or particular) satisfaction from her volunteer work""  "
adjective:10186,secondary,2016-01-30T05:14:07.231Z," being of second rank or importance or value; not direct or immediate; ""the stone will be hauled to a secondary crusher""; ""a secondary source""; ""a secondary issue""; ""secondary streams""  "
adjective:10187,alternate,2016-01-30T05:14:07.346Z," serving or used in place of another; ""an alternative plan""  "
adjective:10188,auxiliary,2016-01-30T05:14:07.472Z," functioning in a supporting capacity; ""the main library and its auxiliary branches""  "
adjective:10189,collateral,2016-01-30T05:14:07.602Z, additional but secondary; auxiliary;  
adjective:1019,at rest,2016-01-30T04:48:14.841Z, in a state of repose or especially sleep  
adjective:10190,indirect,2016-01-30T05:14:07.812Z," not as a direct effect or consequence; ""indirect benefits""; ""an indirect advantage""  "
adjective:10191,secondhand,2016-01-30T05:14:07.968Z," derived from what is primary or original; not firsthand; ""a secondhand report""; ""a secondhand account of a memory of something once read""; ""most of our knowledge is secondhand""  "
adjective:10192,second-string,2016-01-30T05:14:08.168Z," being a replacement or substitute for a regular member of a team; ""a second-string pitcher""  "
adjective:10193,standby,2016-01-30T05:14:08.367Z," ready for emergency use; ""a standby generator""; ""a standby crew""  "
adjective:10194,thirdhand,2016-01-30T05:14:08.489Z," derived from what is primary or original by two intermediate steps; ""a thirdhand report""  "
adjective:10195,tributary,2016-01-30T05:14:08.610Z, (of a stream) flowing into a larger stream  
adjective:10196,utility,2016-01-30T05:14:08.731Z," capable of substituting in any of several positions on a team; ""a utility infielder""  "
adjective:10197,vicarious,2016-01-30T05:14:08.861Z," experienced at secondhand; ""read about mountain climbing and felt vicarious excitement""  "
adjective:10198,basic,2016-01-30T05:14:09.060Z," pertaining to or constituting a base or basis; ""a basic fact""; ""the basic ingredients""; ""basic changes in public opinion occur because of changes in priorities""  "
adjective:10199,basal,2016-01-30T05:14:09.203Z," serving as or forming a base; ""the painter applied a base coat followed by two finishing coats""  "
adjective:102,accurate,2016-01-30T04:45:44.504Z," conforming exactly or almost exactly to fact or to a standard or performing with total accuracy; ""an accurate reproduction""; ""the accounting was accurate""; ""accurate measurements""; ""an accurate scale""  "
adjective:1020,dormant,2016-01-30T04:48:15.042Z," in a condition of biological rest or suspended animation; ""dormant buds""; ""a hibernating bear""; ""torpid frogs""  "
